time,latitude,longitude,depth,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
,-5.482917,-81.293056,,,,,,,,,,,,,,,,,,
,-5.487917,-81.289722,,,,,,,,,,,,,,,,,,
,-5.493194,-81.286667,,,,,,,,,,,,,,,,,,
,-5.498472,-81.283889,,,,,,,,,,,,,,,,,,
,-5.495139,-81.285,,,,,,,,,,,,,,,,,,
,-5.491806,-81.286667,,,,,,,,,,,,,,,,,,
,-5.058472,-81.255556,,,,,,,,,,,,,,,,,,
,-5.064861,-81.258611,,,,,,,,,,,,,,,,,,
,-5.070972,-81.261389,,,,,,,,,,,,,,,,,,
,-5.077917,-81.262778,,,,,,,,,,,,,,,,,,
,-5.079028,-81.263333,,,,,,,,,,,,,,,,,,
,-5.419861,-81.329167,,,,,,,,,,,,,,,,,,
,-5.434306,-81.322222,,,,,,,,,,,,,,,,,,
,-5.439306,-81.318611,,,,,,,,,,,,,,,,,,
,-5.443194,-81.313889,,,,,,,,,,,,,,,,,,
,-5.447639,-81.309444,,,,,,,,,,,,,,,,,,
,-5.451806,-81.304722,,,,,,,,,,,,,,,,,,
,-5.45625,-81.300278,,,,,,,,,,,,,,,,,,
,-5.455139,-81.301111,,,,,,,,,,,,,,,,,,
,-5.455694,-81.301667,,,,,,,,,,,,,,,,,,
,-5.372639,-81.301111,,,,,,,,,,,,,,,,,,
,-5.365972,-81.301389,,,,,,,,,,,,,,,,,,
,-5.352361,-81.301389,,,,,,,,,,,,,,,,,,
,-5.345417,-81.301389,,,,,,,,,,,,,,,,,,
,-5.33875,-81.301389,,,,,,,,,,,,,,,,,,
,-5.331806,-81.301389,,,,,,,,,,,,,,,,,,
,-5.325139,-81.301667,,,,,,,,,,,,,,,,,,
,-5.318472,-81.301667,,,,,,,,,,,,,,,,,,
,-5.311528,-81.301389,,,,,,,,,,,,,,,,,,
,-5.311806,-81.301667,,,,,,,,,,,,,,,,,,
,-5.310417,-81.303333,,,,,,,,,,,,,,,,,,
,-5.306528,-81.3,,,,,,,,,,,,,,,,,,
,-5.314583,-81.299444,,,,,,,,,,,,,,,,,,
,-5.321528,-81.298889,,,,,,,,,,,,,,,,,,
,-5.327917,-81.299167,,,,,,,,,,,,,,,,,,
,-5.334583,-81.298889,,,,,,,,,,,,,,,,,,
,-5.34125,-81.299167,,,,,,,,,,,,,,,,,,
,-5.347917,-81.299167,,,,,,,,,,,,,,,,,,
,-5.354583,-81.298889,,,,,,,,,,,,,,,,,,
,-5.36125,-81.299722,,,,,,,,,,,,,,,,,,
,-5.367917,-81.300278,,,,,,,,,,,,,,,,,,
,-5.373194,-81.3,,,,,,,,,,,,,,,,,,
,-5.370972,-81.300833,,,,,,,,,,,,,,,,,,
,-5.375694,-81.300833,,,,,,,,,,,,,,,,,,
,-5.369028,-81.301389,,,,,,,,,,,,,,,,,,
,-5.362083,-81.301389,,,,,,,,,,,,,,,,,,
,-5.355417,-81.301667,,,,,,,,,,,,,,,,,,
,-5.348472,-81.301667,,,,,,,,,,,,,,,,,,
,-5.34125,-81.301667,,,,,,,,,,,,,,,,,,
,-5.334028,-81.301667,,,,,,,,,,,,,,,,,,
,-5.326806,-81.301667,,,,,,,,,,,,,,,,,,
,-5.319861,-81.301667,,,,,,,,,,,,,,,,,,
,-5.312639,-81.301667,,,,,,,,,,,,,,,,,,
,-5.313194,-81.302222,,,,,,,,,,,,,,,,,,
,-5.319861,-81.298889,,,,,,,,,,,,,,,,,,
,-5.326528,-81.298889,,,,,,,,,,,,,,,,,,
,-5.333472,-81.298333,,,,,,,,,,,,,,,,,,
,-5.340417,-81.298611,,,,,,,,,,,,,,,,,,
,-5.347083,-81.298611,,,,,,,,,,,,,,,,,,
,-5.354028,-81.298889,,,,,,,,,,,,,,,,,,
,-5.367917,-81.298611,,,,,,,,,,,,,,,,,,
,-5.374583,-81.298611,,,,,,,,,,,,,,,,,,
,-5.380694,-81.298611,,,,,,,,,,,,,,,,,,
,-5.377361,-81.298056,,,,,,,,,,,,,,,,,,
,-5.307639,-81.3,,,,,,,,,,,,,,,,,,
,-5.316528,-81.299722,,,,,,,,,,,,,,,,,,
,-5.323194,-81.299722,,,,,,,,,,,,,,,,,,
,-5.329861,-81.299167,,,,,,,,,,,,,,,,,,
,-5.336528,-81.299444,,,,,,,,,,,,,,,,,,
,-5.343472,-81.299167,,,,,,,,,,,,,,,,,,
,-5.350417,-81.298889,,,,,,,,,,,,,,,,,,
,-5.357361,-81.299167,,,,,,,,,,,,,,,,,,
,-5.364028,-81.298889,,,,,,,,,,,,,,,,,,
,-5.370972,-81.298611,,,,,,,,,,,,,,,,,,
,-5.377639,-81.298889,,,,,,,,,,,,,,,,,,
,-5.380417,-81.298889,,,,,,,,,,,,,,,,,,
,-5.37875,-81.300278,,,,,,,,,,,,,,,,,,
,-5.377917,-81.249722,,,,,,,,,,,,,,,,,,
,-5.38375,-81.246389,,,,,,,,,,,,,,,,,,
,-5.389306,-81.243056,,,,,,,,,,,,,,,,,,
,-5.401528,-81.240278,,,,,,,,,,,,,,,,,,
,-5.406806,-81.238611,,,,,,,,,,,,,,,,,,
,-5.404028,-81.240556,,,,,,,,,,,,,,,,,,
,-5.403194,-81.242778,,,,,,,,,,,,,,,,,,
,-5.390694,-81.2425,,,,,,,,,,,,,,,,,,
,-5.38375,-81.2425,,,,,,,,,,,,,,,,,,
,-5.376806,-81.242778,,,,,,,,,,,,,,,,,,
,-5.369861,-81.2425,,,,,,,,,,,,,,,,,,
