time,latitude,longitude,depth,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
,-4.041806,-81.126667,,,,,,,,,,,,,,,,,,
,-4.03625,-81.123056,,,,,,,,,,,,,,,,,,
,-4.031528,-81.118889,,,,,,,,,,,,,,,,,,
,-4.025417,-81.116667,,,,,,,,,,,,,,,,,,
,-4.019583,-81.113889,,,,,,,,,,,,,,,,,,
,-4.014583,-81.110556,,,,,,,,,,,,,,,,,,
,-4.016528,-81.114722,,,,,,,,,,,,,,,,,,
,-4.016806,-81.108333,,,,,,,,,,,,,,,,,,
,-4.021528,-81.113056,,,,,,,,,,,,,,,,,,
,-4.028194,-81.115556,,,,,,,,,,,,,,,,,,
,-4.034028,-81.118889,,,,,,,,,,,,,,,,,,
,-4.039861,-81.123056,,,,,,,,,,,,,,,,,,
,-4.044861,-81.13,,,,,,,,,,,,,,,,,,
,-4.039583,-81.125556,,,,,,,,,,,,,,,,,,
,-4.03375,-81.121389,,,,,,,,,,,,,,,,,,
,-4.037917,-81.126389,,,,,,,,,,,,,,,,,,
,-4.039861,-81.127778,,,,,,,,,,,,,,,,,,
,-4.042361,-81.127222,,,,,,,,,,,,,,,,,,
,-4.03875,-81.124167,,,,,,,,,,,,,,,,,,
,-4.034583,-81.121111,,,,,,,,,,,,,,,,,,
,-4.029861,-81.118611,,,,,,,,,,,,,,,,,,
,-4.025694,-81.115278,,,,,,,,,,,,,,,,,,
,-4.021528,-81.111944,,,,,,,,,,,,,,,,,,
,-4.016806,-81.11,,,,,,,,,,,,,,,,,,
,-4.01125,-81.109167,,,,,,,,,,,,,,,,,,
,-4.005694,-81.108056,,,,,,,,,,,,,,,,,,
,-4.006528,-81.111944,,,,,,,,,,,,,,,,,,
,-4.009028,-81.113889,,,,,,,,,,,,,,,,,,
,-4.009306,-81.118611,,,,,,,,,,,,,,,,,,
,-4.014861,-81.122778,,,,,,,,,,,,,,,,,,
,-4.020139,-81.127222,,,,,,,,,,,,,,,,,,
,-4.025694,-81.131667,,,,,,,,,,,,,,,,,,
,-4.031806,-81.134722,,,,,,,,,,,,,,,,,,
,-4.03875,-81.136667,,,,,,,,,,,,,,,,,,
,-4.044583,-81.14,,,,,,,,,,,,,,,,,,
,-4.055694,-81.148611,,,,,,,,,,,,,,,,,,
,-4.056528,-81.15,,,,,,,,,,,,,,,,,,
,-4.057917,-81.150833,,,,,,,,,,,,,,,,,,
,-4.058472,-81.152778,,,,,,,,,,,,,,,,,,
,-4.030694,-81.116944,,,,,,,,,,,,,,,,,,
,-4.025972,-81.113611,,,,,,,,,,,,,,,,,,
,-4.020417,-81.111111,,,,,,,,,,,,,,,,,,
,-4.015139,-81.1075,,,,,,,,,,,,,,,,,,
,-4.010139,-81.103056,,,,,,,,,,,,,,,,,,
,-4.004306,-81.100556,,,,,,,,,,,,,,,,,,
,-3.998472,-81.098611,,,,,,,,,,,,,,,,,,
,-3.992639,-81.095833,,,,,,,,,,,,,,,,,,
,-3.989306,-81.093889,,,,,,,,,,,,,,,,,,
,-3.991806,-81.095,,,,,,,,,,,,,,,,,,
,-3.974028,-81.086667,,,,,,,,,,,,,,,,,,
,-3.968472,-81.082778,,,,,,,,,,,,,,,,,,
,-3.963194,-81.079167,,,,,,,,,,,,,,,,,,
,-3.957917,-81.075556,,,,,,,,,,,,,,,,,,
,-3.952083,-81.072222,,,,,,,,,,,,,,,,,,
,-3.946806,-81.068889,,,,,,,,,,,,,,,,,,
,-3.940694,-81.066389,,,,,,,,,,,,,,,,,,
,-3.934583,-81.063333,,,,,,,,,,,,,,,,,,
,-3.929028,-81.060278,,,,,,,,,,,,,,,,,,
,-3.927917,-81.058611,,,,,,,,,,,,,,,,,,
,-3.925972,-81.06,,,,,,,,,,,,,,,,,,
,-3.920417,-81.056944,,,,,,,,,,,,,,,,,,
,-3.914583,-81.054167,,,,,,,,,,,,,,,,,,
,-3.908472,-81.051389,,,,,,,,,,,,,,,,,,
,-3.903194,-81.047778,,,,,,,,,,,,,,,,,,
,-3.899028,-81.043056,,,,,,,,,,,,,,,,,,
,-3.895694,-81.037222,,,,,,,,,,,,,,,,,,
,-3.892083,-81.031667,,,,,,,,,,,,,,,,,,
,-3.890972,-81.030833,,,,,,,,,,,,,,,,,,
,-3.892083,-81.030556,,,,,,,,,,,,,,,,,,
,-3.900694,-81.043889,,,,,,,,,,,,,,,,,,
,-3.906528,-81.0475,,,,,,,,,,,,,,,,,,
,-3.912361,-81.050833,,,,,,,,,,,,,,,,,,
,-3.918194,-81.054444,,,,,,,,,,,,,,,,,,
,-3.92375,-81.058333,,,,,,,,,,,,,,,,,,
,-3.929306,-81.062222,,,,,,,,,,,,,,,,,,
,-3.934861,-81.066389,,,,,,,,,,,,,,,,,,
,-3.940972,-81.069722,,,,,,,,,,,,,,,,,,
,-3.946806,-81.073056,,,,,,,,,,,,,,,,,,
