time,latitude,longitude,depth,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
,-5.079861,-81.418889,,,,,,,,,,,,,,,,,,
,-5.079306,-81.416389,,,,,,,,,,,,,,,,,,
,-5.080139,-81.417222,,,,,,,,,,,,,,,,,,
,-5.064861,-81.411944,,,,,,,,,,,,,,,,,,
,-5.045694,-81.404722,,,,,,,,,,,,,,,,,,
,-5.037917,-81.405278,,,,,,,,,,,,,,,,,,
,-5.040417,-81.405278,,,,,,,,,,,,,,,,,,
,-5.06875,-81.419444,,,,,,,,,,,,,,,,,,
,-5.071528,-81.417778,,,,,,,,,,,,,,,,,,
,-5.071806,-81.416111,,,,,,,,,,,,,,,,,,
,-5.059861,-81.411389,,,,,,,,,,,,,,,,,,
,-5.060694,-81.41,,,,,,,,,,,,,,,,,,
,-5.062639,-81.410556,,,,,,,,,,,,,,,,,,
,-5.057917,-81.407222,,,,,,,,,,,,,,,,,,
,-5.034306,-81.385278,,,,,,,,,,,,,,,,,,
,-5.031806,-81.383889,,,,,,,,,,,,,,,,,,
,-5.031528,-81.383889,,,,,,,,,,,,,,,,,,
,-5.015139,-81.383333,,,,,,,,,,,,,,,,,,
,-4.99125,-81.380556,,,,,,,,,,,,,,,,,,
,-4.975972,-81.38,,,,,,,,,,,,,,,,,,
,-4.955694,-81.387222,,,,,,,,,,,,,,,,,,
,-4.954861,-81.377222,,,,,,,,,,,,,,,,,,
,-4.995972,-81.381389,,,,,,,,,,,,,,,,,,
,-4.994028,-81.379722,,,,,,,,,,,,,,,,,,
,-4.995972,-81.380833,,,,,,,,,,,,,,,,,,
,-4.989583,-81.378611,,,,,,,,,,,,,,,,,,
,-4.974028,-81.381389,,,,,,,,,,,,,,,,,,
,-4.954861,-81.388056,,,,,,,,,,,,,,,,,,
,-4.953472,-81.388611,,,,,,,,,,,,,,,,,,
,-4.959861,-81.386944,,,,,,,,,,,,,,,,,,
,-4.964583,-81.386111,,,,,,,,,,,,,,,,,,
,-4.965972,-81.385556,,,,,,,,,,,,,,,,,,
,-4.966528,-81.385278,,,,,,,,,,,,,,,,,,
,-4.973194,-81.381389,,,,,,,,,,,,,,,,,,
,-4.980972,-81.378889,,,,,,,,,,,,,,,,,,
,-4.98875,-81.379722,,,,,,,,,,,,,,,,,,
,-4.996528,-81.380833,,,,,,,,,,,,,,,,,,
,-5.004306,-81.381944,,,,,,,,,,,,,,,,,,
,-5.006806,-81.382222,,,,,,,,,,,,,,,,,,
,-5.003472,-81.381667,,,,,,,,,,,,,,,,,,
,-4.994861,-81.380278,,,,,,,,,,,,,,,,,,
,-4.980139,-81.379722,,,,,,,,,,,,,,,,,,
,-4.994306,-81.378056,,,,,,,,,,,,,,,,,,
,-4.992639,-81.38,,,,,,,,,,,,,,,,,,
,-4.99375,-81.38,,,,,,,,,,,,,,,,,,
,-4.985694,-81.379167,,,,,,,,,,,,,,,,,,
,-5.023194,-81.378889,,,,,,,,,,,,,,,,,,
,-5.026528,-81.382222,,,,,,,,,,,,,,,,,,
,-5.025139,-81.384167,,,,,,,,,,,,,,,,,,
,-5.024306,-81.383889,,,,,,,,,,,,,,,,,,
,-5.015694,-81.383889,,,,,,,,,,,,,,,,,,
,-4.990694,-81.379722,,,,,,,,,,,,,,,,,,
,-4.982639,-81.378889,,,,,,,,,,,,,,,,,,
,-4.95375,-81.388611,,,,,,,,,,,,,,,,,,
,-4.952361,-81.390556,,,,,,,,,,,,,,,,,,
,-4.954583,-81.388889,,,,,,,,,,,,,,,,,,
,-4.952083,-81.388889,,,,,,,,,,,,,,,,,,
,-4.960417,-81.386944,,,,,,,,,,,,,,,,,,
,-4.967639,-81.384722,,,,,,,,,,,,,,,,,,
,-4.974861,-81.381944,,,,,,,,,,,,,,,,,,
,-4.982639,-81.381944,,,,,,,,,,,,,,,,,,
,-4.989028,-81.386111,,,,,,,,,,,,,,,,,,
,-4.992639,-81.384722,,,,,,,,,,,,,,,,,,
,-4.993194,-81.385556,,,,,,,,,,,,,,,,,,
,-5.002639,-81.389722,,,,,,,,,,,,,,,,,,
,-5.018194,-81.395,,,,,,,,,,,,,,,,,,
,-5.025139,-81.400278,,,,,,,,,,,,,,,,,,
,-5.040139,-81.405278,,,,,,,,,,,,,,,,,,
,-5.060417,-81.408611,,,,,,,,,,,,,,,,,,
,-5.070417,-81.4175,,,,,,,,,,,,,,,,,,
,-5.074028,-81.416667,,,,,,,,,,,,,,,,,,
,-5.081806,-81.416389,,,,,,,,,,,,,,,,,,
,-5.089306,-81.416667,,,,,,,,,,,,,,,,,,
,-5.097083,-81.418333,,,,,,,,,,,,,,,,,,
,-5.105139,-81.420278,,,,,,,,,,,,,,,,,,
,-5.129306,-81.423056,,,,,,,,,,,,,,,,,,
,-5.136806,-81.423056,,,,,,,,,,,,,,,,,,
,-5.199028,-81.406389,,,,,,,,,,,,,,,,,,
,-5.195694,-81.407778,,,,,,,,,,,,,,,,,,
,-5.201528,-81.403333,,,,,,,,,,,,,,,,,,
,-5.208194,-81.398611,,,,,,,,,,,,,,,,,,
,-5.215417,-81.398056,,,,,,,,,,,,,,,,,,
,-5.222917,-81.3975,,,,,,,,,,,,,,,,,,
,-5.230417,-81.396389,,,,,,,,,,,,,,,,,,
,-5.237639,-81.393056,,,,,,,,,,,,,,,,,,
,-5.272639,-81.386667,,,,,,,,,,,,,,,,,,
,-5.271806,-81.386667,,,,,,,,,,,,,,,,,,
,-5.113194,-81.390278,,,,,,,,,,,,,,,,,,
,-5.115694,-81.388889,,,,,,,,,,,,,,,,,,
,-5.119028,-81.388611,,,,,,,,,,,,,,,,,,
,-5.11625,-81.387222,,,,,,,,,,,,,,,,,,
,-5.109028,-81.386944,,,,,,,,,,,,,,,,,,
,-5.102083,-81.386389,,,,,,,,,,,,,,,,,,
,-5.094861,-81.385278,,,,,,,,,,,,,,,,,,
,-5.087917,-81.384167,,,,,,,,,,,,,,,,,,
,-5.080972,-81.382778,,,,,,,,,,,,,,,,,,
,-5.07375,-81.383889,,,,,,,,,,,,,,,,,,
,-5.066528,-81.383333,,,,,,,,,,,,,,,,,,
,-5.059583,-81.382222,,,,,,,,,,,,,,,,,,
,-5.052083,-81.382222,,,,,,,,,,,,,,,,,,
,-5.034583,-81.383333,,,,,,,,,,,,,,,,,,
,-5.029306,-81.393333,,,,,,,,,,,,,,,,,,
,-5.032361,-81.391389,,,,,,,,,,,,,,,,,,
,-5.027083,-81.391389,,,,,,,,,,,,,,,,,,
,-5.039861,-81.392222,,,,,,,,,,,,,,,,,,
,-5.036528,-81.406389,,,,,,,,,,,,,,,,,,
,-5.038194,-81.405278,,,,,,,,,,,,,,,,,,
,-5.041806,-81.408056,,,,,,,,,,,,,,,,,,
,-5.038194,-81.405278,,,,,,,,,,,,,,,,,,
,-5.032917,-81.400833,,,,,,,,,,,,,,,,,,
,-5.02625,-81.400278,,,,,,,,,,,,,,,,,,
,-5.019306,-81.398333,,,,,,,,,,,,,,,,,,
,-5.012083,-81.398611,,,,,,,,,,,,,,,,,,
,-5.005417,-81.396944,,,,,,,,,,,,,,,,,,
,-4.99875,-81.395,,,,,,,,,,,,,,,,,,
,-4.983472,-81.396111,,,,,,,,,,,,,,,,,,
,-4.987639,-81.393333,,,,,,,,,,,,,,,,,,
,-4.987083,-81.391667,,,,,,,,,,,,,,,,,,
,-4.982917,-81.39,,,,,,,,,,,,,,,,,,
,-4.989028,-81.3925,,,,,,,,,,,,,,,,,,
,-4.995694,-81.394167,,,,,,,,,,,,,,,,,,
,-5.002361,-81.396111,,,,,,,,,,,,,,,,,,
,-5.00875,-81.397778,,,,,,,,,,,,,,,,,,
,-5.015417,-81.398611,,,,,,,,,,,,,,,,,,
,-5.021806,-81.399722,,,,,,,,,,,,,,,,,,
,-5.02875,-81.4,,,,,,,,,,,,,,,,,,
,-5.035972,-81.408889,,,,,,,,,,,,,,,,,,
,-5.036528,-81.405556,,,,,,,,,,,,,,,,,,
,-5.040417,-81.407222,,,,,,,,,,,,,,,,,,
,-5.033472,-81.401944,,,,,,,,,,,,,,,,,,
,-5.026806,-81.4,,,,,,,,,,,,,,,,,,
,-5.019861,-81.399722,,,,,,,,,,,,,,,,,,
,-5.013194,-81.398611,,,,,,,,,,,,,,,,,,
,-5.00625,-81.396944,,,,,,,,,,,,,,,,,,
,-4.999861,-81.394444,,,,,,,,,,,,,,,,,,
,-4.984583,-81.39,,,,,,,,,,,,,,,,,,
,-4.987639,-81.388611,,,,,,,,,,,,,,,,,,
,-4.985694,-81.3875,,,,,,,,,,,,,,,,,,
,-4.983472,-81.386944,,,,,,,,,,,,,,,,,,
,-4.989583,-81.390278,,,,,,,,,,,,,,,,,,
,-4.995694,-81.392778,,,,,,,,,,,,,,,,,,
,-5.002083,-81.394444,,,,,,,,,,,,,,,,,,
,-5.008472,-81.396389,,,,,,,,,,,,,,,,,,
,-5.015139,-81.3975,,,,,,,,,,,,,,,,,,
,-5.022361,-81.398056,,,,,,,,,,,,,,,,,,
,-5.02875,-81.400556,,,,,,,,,,,,,,,,,,
,-5.037639,-81.4075,,,,,,,,,,,,,,,,,,
,-5.041806,-81.409444,,,,,,,,,,,,,,,,,,
,-4.95125,-81.371667,,,,,,,,,,,,,,,,,,
,-4.954028,-81.371389,,,,,,,,,,,,,,,,,,
,-4.950972,-81.371944,,,,,,,,,,,,,,,,,,
,-4.954306,-81.371667,,,,,,,,,,,,,,,,,,
,-4.960972,-81.371389,,,,,,,,,,,,,,,,,,
,-4.967361,-81.37,,,,,,,,,,,,,,,,,,
,-4.973472,-81.3675,,,,,,,,,,,,,,,,,,
,-4.980417,-81.367778,,,,,,,,,,,,,,,,,,
,-4.986806,-81.370833,,,,,,,,,,,,,,,,,,
,-4.992917,-81.374167,,,,,,,,,,,,,,,,,,
,-4.999583,-81.375556,,,,,,,,,,,,,,,,,,
,-5.014861,-81.378333,,,,,,,,,,,,,,,,,,
,-5.015417,-81.38,,,,,,,,,,,,,,,,,,
,-5.017917,-81.380833,,,,,,,,,,,,,,,,,,
,-5.014306,-81.380556,,,,,,,,,,,,,,,,,,
,-5.018194,-81.381667,,,,,,,,,,,,,,,,,,
,-5.024583,-81.381111,,,,,,,,,,,,,,,,,,
,-5.030972,-81.381111,,,,,,,,,,,,,,,,,,
,-5.037639,-81.380833,,,,,,,,,,,,,,,,,,
,-5.044028,-81.382222,,,,,,,,,,,,,,,,,,
,-5.050694,-81.381667,,,,,,,,,,,,,,,,,,
,-5.057361,-81.381389,,,,,,,,,,,,,,,,,,
,-5.064306,-81.381111,,,,,,,,,,,,,,,,,,
,-5.070972,-81.381944,,,,,,,,,,,,,,,,,,
,-5.080972,-81.381111,,,,,,,,,,,,,,,,,,
,-5.122639,-81.4,,,,,,,,,,,,,,,,,,
,-5.122361,-81.400556,,,,,,,,,,,,,,,,,,
,-5.119583,-81.4,,,,,,,,,,,,,,,,,,
,-5.126528,-81.400278,,,,,,,,,,,,,,,,,,
,-5.13375,-81.400278,,,,,,,,,,,,,,,,,,
,-5.140694,-81.400556,,,,,,,,,,,,,,,,,,
,-5.147639,-81.400833,,,,,,,,,,,,,,,,,,
,-5.154861,-81.400278,,,,,,,,,,,,,,,,,,
,-5.161806,-81.400556,,,,,,,,,,,,,,,,,,
,-5.169028,-81.400833,,,,,,,,,,,,,,,,,,
,-5.17625,-81.400278,,,,,,,,,,,,,,,,,,
,-5.183194,-81.401111,,,,,,,,,,,,,,,,,,
,-5.190139,-81.400556,,,,,,,,,,,,,,,,,,
,-5.206806,-81.400556,,,,,,,,,,,,,,,,,,
,-5.182361,-81.403333,,,,,,,,,,,,,,,,,,
,-5.181528,-81.403056,,,,,,,,,,,,,,,,,,
,-5.177639,-81.401389,,,,,,,,,,,,,,,,,,
,-5.180417,-81.401111,,,,,,,,,,,,,,,,,,
,-5.178472,-81.401389,,,,,,,,,,,,,,,,,,
,-5.171528,-81.401389,,,,,,,,,,,,,,,,,,
,-5.164861,-81.401667,,,,,,,,,,,,,,,,,,
,-5.157917,-81.400556,,,,,,,,,,,,,,,,,,
,-5.15125,-81.400556,,,,,,,,,,,,,,,,,,
,-5.144306,-81.400556,,,,,,,,,,,,,,,,,,
,-5.137361,-81.400556,,,,,,,,,,,,,,,,,,
,-5.130694,-81.400556,,,,,,,,,,,,,,,,,,
,-5.12375,-81.400556,,,,,,,,,,,,,,,,,,
,-5.116806,-81.400556,,,,,,,,,,,,,,,,,,
,-5.109861,-81.400278,,,,,,,,,,,,,,,,,,
,-5.070694,-81.387778,,,,,,,,,,,,,,,,,,
,-5.070139,-81.386944,,,,,,,,,,,,,,,,,,
,-5.068472,-81.386667,,,,,,,,,,,,,,,,,,
,-5.075139,-81.385,,,,,,,,,,,,,,,,,,
,-5.082083,-81.386111,,,,,,,,,,,,,,,,,,
,-5.089028,-81.385833,,,,,,,,,,,,,,,,,,
,-5.095972,-81.385,,,,,,,,,,,,,,,,,,
,-5.102917,-81.385556,,,,,,,,,,,,,,,,,,
,-5.109861,-81.385,,,,,,,,,,,,,,,,,,
,-5.116806,-81.384722,,,,,,,,,,,,,,,,,,
,-5.123472,-81.386111,,,,,,,,,,,,,,,,,,
,-5.130417,-81.386667,,,,,,,,,,,,,,,,,,
,-5.137361,-81.386667,,,,,,,,,,,,,,,,,,
,-5.144028,-81.388333,,,,,,,,,,,,,,,,,,
,-5.150694,-81.389444,,,,,,,,,,,,,,,,,,
,-5.166528,-81.392222,,,,,,,,,,,,,,,,,,
,-5.105139,-81.398056,,,,,,,,,,,,,,,,,,
,-5.10625,-81.399444,,,,,,,,,,,,,,,,,,
,-5.109306,-81.400556,,,,,,,,,,,,,,,,,,
,-5.108194,-81.400556,,,,,,,,,,,,,,,,,,
,-5.106528,-81.400278,,,,,,,,,,,,,,,,,,
,-5.112917,-81.400278,,,,,,,,,,,,,,,,,,
,-5.119583,-81.400278,,,,,,,,,,,,,,,,,,
,-5.12625,-81.400278,,,,,,,,,,,,,,,,,,
,-5.133194,-81.400278,,,,,,,,,,,,,,,,,,
,-5.140139,-81.400556,,,,,,,,,,,,,,,,,,
,-5.147361,-81.400278,,,,,,,,,,,,,,,,,,
,-5.158194,-81.400278,,,,,,,,,,,,,,,,,,
,-5.12625,-81.385278,,,,,,,,,,,,,,,,,,
,-5.129028,-81.385833,,,,,,,,,,,,,,,,,,
,-5.130694,-81.388333,,,,,,,,,,,,,,,,,,
,-5.135417,-81.388611,,,,,,,,,,,,,,,,,,
,-5.128194,-81.389444,,,,,,,,,,,,,,,,,,
,-5.120972,-81.388889,,,,,,,,,,,,,,,,,,
,-5.114028,-81.388889,,,,,,,,,,,,,,,,,,
,-5.107361,-81.388611,,,,,,,,,,,,,,,,,,
,-5.09375,-81.389167,,,,,,,,,,,,,,,,,,
,-5.087083,-81.388333,,,,,,,,,,,,,,,,,,
,-5.080139,-81.387778,,,,,,,,,,,,,,,,,,
,-5.06375,-81.384722,,,,,,,,,,,,,,,,,,
,-4.988194,-81.365833,,,,,,,,,,,,,,,,,,
,-4.992917,-81.376667,,,,,,,,,,,,,,,,,,
,-4.995139,-81.378056,,,,,,,,,,,,,,,,,,
,-4.994028,-81.379444,,,,,,,,,,,,,,,,,,
,-4.994583,-81.378889,,,,,,,,,,,,,,,,,,
,-5.001806,-81.379444,,,,,,,,,,,,,,,,,,
,-5.009028,-81.379722,,,,,,,,,,,,,,,,,,
,-5.015972,-81.380556,,,,,,,,,,,,,,,,,,
,-5.023194,-81.379444,,,,,,,,,,,,,,,,,,
,-5.030139,-81.380556,,,,,,,,,,,,,,,,,,
,-5.036528,-81.380278,,,,,,,,,,,,,,,,,,
,-5.043194,-81.38,,,,,,,,,,,,,,,,,,
,-5.049583,-81.380556,,,,,,,,,,,,,,,,,,
,-5.05625,-81.380833,,,,,,,,,,,,,,,,,,
,-5.062917,-81.381111,,,,,,,,,,,,,,,,,,
,-5.069583,-81.38,,,,,,,,,,,,,,,,,,
,-5.076806,-81.380278,,,,,,,,,,,,,,,,,,
,-5.084583,-81.381944,,,,,,,,,,,,,,,,,,
,-5.086806,-81.380278,,,,,,,,,,,,,,,,,,
,-5.083472,-81.378889,,,,,,,,,,,,,,,,,,
,-5.087917,-81.38,,,,,,,,,,,,,,,,,,
,-5.094306,-81.381667,,,,,,,,,,,,,,,,,,
,-5.100694,-81.383333,,,,,,,,,,,,,,,,,,
,-5.107083,-81.385556,,,,,,,,,,,,,,,,,,
,-5.119861,-81.389167,,,,,,,,,,,,,,,,,,
,-5.126528,-81.388889,,,,,,,,,,,,,,,,,,
