time,latitude,longitude,depth,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
,-5.079861,-81.418889,,,,,,,,,,,,,,,,,,
,-4.034861,-81.128611,,,,,,,,,,,,,,,,,,
,-4.025694,-81.124722,,,,,,,,,,,,,,,,,,
,-4.020694,-81.1225,,,,,,,,,,,,,,,,,,
,-4.014028,-81.121389,,,,,,,,,,,,,,,,,,
,-4.007083,-81.119722,,,,,,,,,,,,,,,,,,
,-3.999583,-81.118333,,,,,,,,,,,,,,,,,,
,-3.994583,-81.118611,,,,,,,,,,,,,,,,,,
,-3.962361,-81.116944,,,,,,,,,,,,,,,,,,
,-3.955694,-81.115278,,,,,,,,,,,,,,,,,,
,-3.94875,-81.113611,,,,,,,,,,,,,,,,,,
,-3.942083,-81.112222,,,,,,,,,,,,,,,,,,
,-3.935417,-81.110833,,,,,,,,,,,,,,,,,,
,-3.929306,-81.108611,,,,,,,,,,,,,,,,,,
,-3.922639,-81.106944,,,,,,,,,,,,,,,,,,
,-3.915972,-81.104444,,,,,,,,,,,,,,,,,,
,-3.916528,-81.105833,,,,,,,,,,,,,,,,,,
,-3.916528,-81.105,,,,,,,,,,,,,,,,,,
,-3.909306,-81.112778,,,,,,,,,,,,,,,,,,
,-3.897083,-81.111944,,,,,,,,,,,,,,,,,,
,-3.89125,-81.108889,,,,,,,,,,,,,,,,,,
,-3.885139,-81.106111,,,,,,,,,,,,,,,,,,
,-3.879028,-81.103056,,,,,,,,,,,,,,,,,,
,-3.873472,-81.099167,,,,,,,,,,,,,,,,,,
,-3.867917,-81.095833,,,,,,,,,,,,,,,,,,
,-3.862639,-81.092222,,,,,,,,,,,,,,,,,,
,-3.856528,-81.089167,,,,,,,,,,,,,,,,,,
,-3.850694,-81.085556,,,,,,,,,,,,,,,,,,
,-3.845139,-81.082222,,,,,,,,,,,,,,,,,,
,-3.842917,-81.08,,,,,,,,,,,,,,,,,,
,-3.84625,-81.083056,,,,,,,,,,,,,,,,,,
,-3.824306,-81.010556,,,,,,,,,,,,,,,,,,
,-3.819028,-81.005833,,,,,,,,,,,,,,,,,,
,-3.813472,-81.002222,,,,,,,,,,,,,,,,,,
,-3.807639,-80.998611,,,,,,,,,,,,,,,,,,
,-3.802083,-80.995278,,,,,,,,,,,,,,,,,,
,-3.797639,-80.99,,,,,,,,,,,,,,,,,,
,-3.793472,-80.985,,,,,,,,,,,,,,,,,,
,-3.78875,-80.979444,,,,,,,,,,,,,,,,,,
,-3.784861,-80.973333,,,,,,,,,,,,,,,,,,
,-3.782361,-80.97,,,,,,,,,,,,,,,,,,
,-3.782917,-80.970833,,,,,,,,,,,,,,,,,,
,-3.76875,-80.964444,,,,,,,,,,,,,,,,,,
,-3.763194,-80.96,,,,,,,,,,,,,,,,,,
,-3.758472,-80.955556,,,,,,,,,,,,,,,,,,
,-3.752361,-80.952778,,,,,,,,,,,,,,,,,,
,-3.74625,-80.951111,,,,,,,,,,,,,,,,,,
,-3.739861,-80.95,,,,,,,,,,,,,,,,,,
,-3.733194,-80.95,,,,,,,,,,,,,,,,,,
,-3.72625,-80.95,,,,,,,,,,,,,,,,,,
,-3.719861,-80.949167,,,,,,,,,,,,,,,,,,
,-3.713472,-80.947778,,,,,,,,,,,,,,,,,,
,-3.710139,-80.9475,,,,,,,,,,,,,,,,,,
,-3.710694,-80.948056,,,,,,,,,,,,,,,,,,
,-3.722639,-80.955278,,,,,,,,,,,,,,,,,,
,-3.729028,-80.956111,,,,,,,,,,,,,,,,,,
,-3.735694,-80.956667,,,,,,,,,,,,,,,,,,
,-3.742361,-80.957778,,,,,,,,,,,,,,,,,,
,-3.74875,-80.960278,,,,,,,,,,,,,,,,,,
,-3.755417,-80.961944,,,,,,,,,,,,,,,,,,
,-3.762083,-80.963333,,,,,,,,,,,,,,,,,,
,-3.769028,-80.965,,,,,,,,,,,,,,,,,,
,-3.775139,-80.968333,,,,,,,,,,,,,,,,,,
,-3.774583,-80.967778,,,,,,,,,,,,,,,,,,
,-3.794028,-80.986944,,,,,,,,,,,,,,,,,,
,-3.79875,-80.991667,,,,,,,,,,,,,,,,,,
,-3.80375,-80.996111,,,,,,,,,,,,,,,,,,
,-3.809583,-80.999444,,,,,,,,,,,,,,,,,,
,-3.816806,-81.000278,,,,,,,,,,,,,,,,,,
,-3.823472,-80.999722,,,,,,,,,,,,,,,,,,
,-3.830417,-81,,,,,,,,,,,,,,,,,,
,-3.837361,-81.000833,,,,,,,,,,,,,,,,,,
,-3.843472,-81.004167,,,,,,,,,,,,,,,,,,
,-3.849028,-81.008333,,,,,,,,,,,,,,,,,,
,-3.854861,-81.012222,,,,,,,,,,,,,,,,,,
,-3.860417,-81.016111,,,,,,,,,,,,,,,,,,
,-3.85875,-81.014167,,,,,,,,,,,,,,,,,,
,-3.858194,-81.015556,,,,,,,,,,,,,,,,,,
,-3.852361,-81.012222,,,,,,,,,,,,,,,,,,
,-3.847083,-81.008056,,,,,,,,,,,,,,,,,,
,-3.841806,-81.003611,,,,,,,,,,,,,,,,,,
,-3.836528,-80.999444,,,,,,,,,,,,,,,,,,
,-3.83125,-80.995278,,,,,,,,,,,,,,,,,,
,-3.825694,-80.991389,,,,,,,,,,,,,,,,,,
,-3.819861,-80.988056,,,,,,,,,,,,,,,,,,
,-3.814028,-80.984722,,,,,,,,,,,,,,,,,,
,-3.807917,-80.981111,,,,,,,,,,,,,,,,,,
,-3.809861,-80.982222,,,,,,,,,,,,,,,,,,
,-4.009861,-81.105278,,,,,,,,,,,,,,,,,,
,-4.001806,-81.102778,,,,,,,,,,,,,,,,,,
,-3.99625,-81.099444,,,,,,,,,,,,,,,,,,
,-3.99125,-81.095833,,,,,,,,,,,,,,,,,,
,-3.985972,-81.092778,,,,,,,,,,,,,,,,,,
,-3.980417,-81.089722,,,,,,,,,,,,,,,,,,
,-3.974861,-81.086944,,,,,,,,,,,,,,,,,,
